Date,AveTemp,MaxTemp,MinTemp,Precip,SW
2017/1/1,8.3,13,3.9,0,2.4
2017/1/2,8.1,13.2,4.4,0,1.6
2017/1/3,8.7,13.9,3.9,0,2.5
2017/1/4,9,12.8,5.4,0,3.6
2017/1/5,7.2,10.7,3.6,0,6.3
2017/1/6,4.7,8.2,0.9,0,1.7
2017/1/7,5.2,9.9,0.3,0,1.6
2017/1/8,5.1,7.2,2.6,26.5,3.2
2017/1/9,7.7,10.9,5.2,13,5.1
2017/1/10,9.3,12.8,6.1,0,3.3
2017/1/11,7.4,11,4,0,2.7
2017/1/12,7.4,11.4,2.3,0,3.4
2017/1/13,8.1,12.3,3.4,0,5.1
2017/1/14,3,7.4,-0.5,0,2.8
2017/1/15,2.2,5.3,-0.7,0,5.2
2017/1/16,4.3,8.3,-0.6,0,4.2
2017/1/17,6.2,10.6,2.3,0,3.3
2017/1/18,6.6,11,1.9,0,2.5
2017/1/19,6.5,11.2,3.3,0,2.4
2017/1/20,2.7,3.9,0.8,2.5,3
2017/1/21,6.1,11.3,2.3,0.5,4.6
2017/1/22,7,13,2.1,0,3.2
2017/1/23,4.7,8.3,1.9,0,5.6
2017/1/24,3.6,7.6,0.3,0,5.4
2017/1/25,4.7,9.9,1.1,0,4.3
2017/1/26,5.5,10.7,0,0,2.2
2017/1/27,11.3,15.6,5.3,0,8
2017/1/28,9,13.4,4.4,0,2.4
2017/1/29,8.9,13.8,4.7,0,1.7
2017/1/30,12.4,18.3,8,0.5,4.4
2017/1/31,6.9,10.8,3.8,0,5.2
2017/2/1,6.9,10.5,3.5,0,2.9
2017/2/2,5.2,9.9,2.1,0,6.1
2017/2/3,8.2,13,2.5,0,5.7
2017/2/4,8.5,13.2,3.9,0,3
2017/2/5,7.4,9.2,4.5,0,2
2017/2/6,9.4,15,6,0.5,5.3
2017/2/7,6.2,10,3.8,0,8.1
2017/2/8,6.8,10.8,3.5,0,4.5
2017/2/9,2.9,5.9,1.4,7.5,3
2017/2/10,4.9,10.2,2.2,0,4.3
2017/2/11,5,9.3,1.1,0,3.2
2017/2/12,6.3,10.9,2.9,0,6.4
