Year,Live births,Deaths,Marriages,Divorces
1990,1221585 ,820305 ,722138 ,157608 
1991,1223245 ,829797 ,742264 ,168969 
1992,1208989 ,856643 ,754441 ,179191 
1993,1188282 ,878532 ,792658 ,188297 
1994,1238328 ,875933 ,782738 ,195106 
1995,1187064 ,922139 ,791888 ,199016 
1996,1206555 ,896211 ,795080 ,206955 
1997,1191665 ,913402 ,775651 ,222635 
1998,1203147 ,936484 ,784595 ,243183 
1999,1177669 ,982031 ,762028 ,250529 
2000,1190547 ,961653 ,798138 ,264246 
2001,1170662 ,970331 ,799999 ,285911 
2002,1153855 ,982379 ,757331 ,289836 
2003,1123610 ,1014951 ,740191 ,283854 
2004,1110721 ,1028602 ,720417 ,270804 
2005,1062530 ,1083796 ,714265 ,261917 
2006,1092674 ,1084450 ,730971 ,257475 
2007,1089818 ,1108334 ,719822 ,254832 
2008,1091156 ,1142407 ,726106 ,251136 
2009,1070035 ,1141865 ,707734 ,253353 
2010,1071304 ,1197012 ,700214 ,251378 
2011,1050806 ,1253066 ,661895 ,235719 
2012,1037231 ,1256359 ,668869 ,235406 
2013,1029816 ,1268436 ,660613 ,231383 
2014,1003539 ,1273004 ,643749 ,222107 
2015,1005677 ,1290444 ,635156 ,226215 
2016,976978 ,1307748 ,620531 ,216798 
