country,weekly_rank,track_name,artist_name,popularity,duration_ms,release_year,artist_popularity,artist_followers
Japan,1,IRIS OUT,Kenshi Yonezu,89,151573,2025,80,7604167
Japan,2,Don’t Say You Love Me,Jin,87,180716,2025,80,9817180
Japan,3,JANE DOE,Kenshi Yonezu,84,235946,2025,80,7604167
Japan,4,ライラック,Mrs. GREEN APPLE,73,289506,2025,80,6412404
Japan,5,花束,back number,76,286053,2011,78,5981069
Japan,6,Blue Jeans,HANA,77,206706,2025,70,512172
Japan,7,SOB,Imanbek,55,134000,2025,68,280033
Japan,8,Zenzenzense,Vaundy,55,262733,2025,73,3607604
Japan,9,Who,Jimin,86,170887,2024,80,10956638
Japan,10,革命道中 - On The Way,AiNA THE END,82,197668,2025,66,275620
Japan,11,高嶺の花子さん,back number,76,294813,2014,78,5981069
Japan,12,Soranji,Mrs. GREEN APPLE,74,343253,2023,80,6412404
Japan,13,Ça va aller,LIMO,35,196500,2025,45,47835
Japan,14,ハッピーエンド,back number,75,314280,2016,78,5981069
Japan,15,点描の唄,Mrs. GREEN APPLE,76,307066,2018,80,6412404
Japan,16,青と夏,Mrs. GREEN APPLE,74,270026,2019,80,6412404
Japan,17,Teri Marzi,Maurya Sevak,37,186304,2025,26,2117
Japan,18,クリスマスソング,back number,73,340080,2015,78,5981069
Japan,19,ROSE,HANA,75,164782,2025,70,512172
Japan,20,Set Fire To The Rain x GAETANO,GAETANO,55,231093,2025,43,4291
Japan,21,ケセラセラ,Mrs. GREEN APPLE,74,272226,2023,80,6412404
Japan,22,Golden,HUNTR/X,99,194607,2025,87,4107328
Japan,23,ヒロイン,back number,73,269786,2015,78,5981069
Japan,24,会心の一撃,YOASOBI,72,239533,2025,74,9615402
Japan,25,Kyoshinsho,Mrs. GREEN APPLE,49,410400,2025,80,6412404
Japan,26,You and Me and Miami,Michael Gilas,48,167866,2025,37,1263
Japan,27,アゲハ蝶,PornoGraffitti,31,280506,1999,63,1080279
Japan,28,夢中,BE:FIRST,72,190800,2025,70,516347
Japan,29,水平線,back number,73,288013,2023,78,5981069
Japan,30,HAPPY BIRTHDAY,back number,74,258333,2019,78,5981069
Japan,31,Sidestep,Band of Silver,47,176785,2025,37,5329
Japan,32,Kaiju no Hanauta,Vaundy,59,224804,2020,73,3607604
Japan,33,1991,Kenshi Yonezu,76,227391,2025,80,7604167
Japan,34,僕のこと,Mrs. GREEN APPLE,73,321306,2019,80,6412404
Japan,35,DARMA GRAND PRIX,ヨルシカ,69,259866,2025,72,3327701
Japan,36,Hold On,Kris James,39,162962,2024,38,1844
Japan,37,Saidaikouyakusu,SEKAI NO OWARI,46,275666,2025,67,3070352
Japan,38,My Body,HANA,75,203296,2025,70,512172
Japan,39,ブルーアンバー,back number,74,207845,2025,78,5981069
Japan,40,Iindesuka?,My Hair is Bad,45,266933,2025,62,401050
Japan,41,No Secrets,Pete Giza,36,178056,2025,23,46
Japan,42,Marigold,Aimyon,59,306626,2019,71,6043156
Japan,43,織姫とBABY,neguse.,74,222826,2025,61,298493
Japan,44,Numbers Ur Zone,Number_i,68,154966,2025,68,339965
Japan,45,ふたりごと,iri,70,279400,2025,58,439455
Japan,46,恋,back number,72,253306,2012,78,5981069
Japan,47,プロポーズ,natori,75,178380,2025,67,1340838
Japan,48,愛をこめて花束を,Superfly,71,295600,2007,60,1593125
Japan,49,奏(かなで),Sukima Switch,73,328626,2004,61,1303639
Japan,50,GOD_i,Number_i,68,215032,2025,68,339965
Global,1,The Fate of Ophelia,Taylor Swift,100,226073,2025,100,147388478
Global,2,All I Want for Christmas Is You,Mariah Carey,94,241562,1994,85,12102415
Global,3,Golden,HUNTR/X,99,194607,2025,87,4107328
Global,4,Last Christmas,Wham!,92,262960,1984,78,3179048
Global,5,Rockin' Around The Christmas Tree,Brenda Lee,92,126266,1964,76,476829
Global,6,Man I Need,Olivia Dean,82,184000,2025,92,2080549
Global,7,Jingle Bell Rock,Bobby Helms,90,130973,1957,74,80132
Global,8,SOB,Imanbek,55,134000,2025,68,280033
Global,9,back to friends,sombr,92,199032,2025,86,3088782
Global,10,Santa Tell Me,Ariana Grande,91,204093,2014,94,108102357
