country,weekly_rank,track_name,artist_name,popularity,duration_ms,release_year,artist_popularity,artist_followers
Japan,1,IRIS OUT,Kenshi Yonezu,88,151573,2025,80,7649246
Japan,2,Don’t Say You Love Me,Jin,87,180716,2025,80,9838250
Japan,3,ライラック,Mrs. GREEN APPLE,73,289506,2025,80,6447266
Japan,4,花束,back number,77,286053,2011,79,6014547
Japan,5,JANE DOE,Kenshi Yonezu,84,235946,2025,80,7649246
Japan,6,NON STOP,HANA,70,173633,2025,71,531937
Japan,7,SOB,Imanbek,56,134000,2025,68,280865
Japan,8,Blue Jeans,HANA,77,206706,2025,71,531937
Japan,9,クリスマスソング,back number,74,340080,2015,79,6014547
Japan,10,Soranji,Mrs. GREEN APPLE,74,343253,2023,80,6447266
Japan,11,ROSE,HANA,75,164782,2025,71,531937
Japan,12,Who,Jimin,87,170887,2024,80,10979408
Japan,13,Ça va aller,LIMO,37,196500,2025,45,48837
Japan,14,ハッピーエンド,back number,75,314280,2016,79,6014547
Japan,15,高嶺の花子さん,back number,76,294813,2014,79,6014547
Japan,16,点描の唄,Mrs. GREEN APPLE,76,307066,2018,80,6447266
Japan,17,革命道中 - On The Way,AiNA THE END,82,197668,2025,66,282261
Japan,18,Teri Marzi,Maurya Sevak,39,186304,2025,27,2129
Japan,19,青と夏,Mrs. GREEN APPLE,74,270026,2019,80,6447266
Japan,20,Golden,HUNTR/X,98,194607,2025,87,4265555
Japan,21,HAPPY BIRTHDAY,back number,75,258333,2019,79,6014547
Japan,22,夢中,BE:FIRST,73,190800,2025,71,521713
Japan,23,Set Fire To The Rain x GAETANO,GAETANO,56,231093,2025,43,5721
Japan,24,ヒロイン,back number,74,269786,2015,79,6014547
Japan,25,僕のこと,Mrs. GREEN APPLE,73,321306,2019,80,6447266
Japan,26,ケセラセラ,Mrs. GREEN APPLE,74,272226,2023,80,6447266
Japan,27,水平線,back number,74,288013,2023,79,6014547
Japan,28,You and Me and Miami,Michael Gilas,50,167866,2025,40,1274
Japan,29,Kaiju no Hanauta,Vaundy,60,224804,2020,74,3626615
Japan,30,ブルーアンバー,back number,75,207845,2025,79,6014547
Japan,31,アゲハ蝶,PornoGraffitti,67,280506,2004,64,1086795
Japan,32,LAVALAVA,Number_i,44,192603,2025,69,341550
Japan,33,Sidestep,Band of Silver,47,176785,2025,38,5343
Japan,34,Drop,HANA,71,149386,2025,71,531937
Japan,35,My Body,HANA,75,203296,2025,71,531937
Japan,36,シルエット,KANA-BOON,77,240133,2015,63,1072699
Japan,37,カリスマックス - CHARISMAX,Snow Man,71,177433,2025,67,475937
Japan,38,Chains,Kivrak,0,135727,2021,18,38125
